liquidity_pool_address,token_pair,fee_tier_bps,protocol_fee_assigned,meets_vol_cut,meets_lp_fees_cut,meets_marketshare_cut,L60d_volume_usd,volume_rank,L60d_lp_fees_usd,lp_fees_rank,uniswap_marketshare,unique_key,annualized_revenue_contribution
0xbe24f9952bf2a15bc4d2661151049d9588d6c0cb,DSync-WETH,100.0,0.166666,no,yes,yes,1010566.3628287739,327,10105.663628287735,212,1.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xf94e7d0710709388bce3161c32b4eea56d3f91cc,10245.979083489241
0xbe24f9952bf2a15bc4d2661151049d9588d6c0cb,DSync-WETH,100.0,0.166666,no,yes,yes,982542.7140761806,327,9825.42714076181,212,1.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xf94e7d0710709388bce3161c32b4eea56d3f91cc,9961.851559040098
0x36095c32623186aa74257fc6729e2aa80ee17cee,EDGE-WETH,100.0,0.166666,no,yes,yes,1099347.5683428107,328,10993.475683428107,213,1.0,0x4ec1b60b96193a64acae44778e51f7bff2007831-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11146.118261046558
0x36095c32623186aa74257fc6729e2aa80ee17cee,EDGE-WETH,100.0,0.166666,no,yes,yes,875695.3825535506,328,8756.953825535506,213,1.0,0x4ec1b60b96193a64acae44778e51f7bff2007831-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8878.542669910761
0x2a8ff49323d42be0af7a1b2f3005b67da55e0c6b,ALVA-WETH,30.0,0.166666,yes,yes,yes,3307351.4000734366,172,9922.05420022031,214,1.0,0x8e729198d1c59b82bd6bba579310c40d740a11c2-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10059.820269114669
0x2a8ff49323d42be0af7a1b2f3005b67da55e0c6b,ALVA-WETH,30.0,0.166666,yes,yes,yes,3262416.343779127,172,9787.249031337386,214,1.0,0x8e729198d1c59b82bd6bba579310c40d740a11c2-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9923.143352929334
0xc7cbff2a23d0926604f9352f65596e65729b8a17,SDEX-WETH,100.0,0.166666,no,yes,yes,1089076.0503767894,329,10890.760503767893,215,1.0,0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11041.976898235962
0xc7cbff2a23d0926604f9352f65596e65729b8a17,SDEX-WETH,100.0,0.166666,no,yes,yes,871345.8274968803,329,8713.458274968805,215,1.0,0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8834.4431908737
0x96f2b9bfccc2f0240799ba4a61ee15a3138e2c8a,USDT-YALA,100.0,0.166666,no,yes,yes,990900.969938781,330,9909.009699387809,216,1.0,0xdac17f958d2ee523a2206206994597c13d831ec7-0xf970706063b7853877f39515c96932d49d5ac9cd,10046.594647562191
0x96f2b9bfccc2f0240799ba4a61ee15a3138e2c8a,USDT-YALA,100.0,0.166666,no,yes,yes,937783.4366344302,330,9377.834366344297,216,1.0,0xdac17f958d2ee523a2206206994597c13d831ec7-0xf970706063b7853877f39515c96932d49d5ac9cd,9508.044033548595
0x25bda6e622a477ca702902fab161ace70839994b,Valentine-WETH,100.0,0.166666,no,yes,yes,936866.9529999173,336,9368.669529999184,219,1.0,0x698acb976e0c07078b06cdc5093f7cdaf55d94d6-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9498.751944978303
